naics_title,occ_title,state,amount_employed,annual_mean_wage,hourly_mean_wage
Cross-industry,Political Scientists,US,"5,950","$137,600 ",$66.15 
Cross-industry,"Social Scientists and Related Workers, All Other",US,"36,970","$106,440 ",$51.17 
Cross-industry,"Life, Physical, and Social Science Technicians",US,"373,260","$61,200 ",$29.42 
Cross-industry,Agricultural and Food Science Technicians,US,"28,550","$52,030 ",$25.01 
Cross-industry,Agricultural Technicians,US,"14,340","$49,680 ",$23.88 
Cross-industry,Food Science Technicians,US,"14,200","$54,400 ",$26.15 
Cross-industry,Biological Technicians,US,"76,190","$58,020 ",$27.89 
Cross-industry,Biological Technicians,US,"76,190","$58,020 ",$27.89 
Cross-industry,Chemical Technicians,US,"55,640","$61,300 ",$29.47 
Cross-industry,Chemical Technicians,US,"55,640","$61,300 ",$29.47 
Cross-industry,Environmental Science and Geoscience Technicians,US,"52,030","$57,470 ",$27.63 
Cross-industry,"Environmental Science and Protection Technicians, Including Health",US,"39,390","$56,770 ",$27.29 
Cross-industry,"Geological Technicians, Except Hydrologic Technicians",US,"9,710","$58,220 ",$27.99 
Cross-industry,Hydrologic Technicians,US,"2,940","$64,410 ",$30.97 
Cross-industry,Nuclear Technicians,US,"5,990","$100,730 ",$48.43 
Cross-industry,Nuclear Technicians,US,"5,990","$100,730 ",$48.43 
Cross-industry,Social Science Research Assistants,US,"32,940","$63,560 ",$30.56 
Cross-industry,Social Science Research Assistants,US,"32,940","$63,560 ",$30.56 
Cross-industry,Forest and Conservation Technicians,US,"31,080","$56,660 ",$27.24 
Cross-industry,Forest and Conservation Technicians,US,"31,080","$56,660 ",$27.24 
Cross-industry,"Miscellaneous Life, Physical, and Social Science Technicians",US,"90,840","$66,910 ",$32.17 
Cross-industry,Forensic Science Technicians,US,"19,450","$75,260 ",$36.18 
Cross-industry,"Life, Physical, and Social Science Technicians, All Other",US,"71,400","$64,640 ",$31.08 
Cross-industry,Occupational Health and Safety Specialists and Technicians,US,"159,880","$83,770 ",$40.27 
Cross-industry,Occupational Health and Safety Specialists and Technicians,US,"159,880","$83,770 ",$40.27 
Cross-industry,Occupational Health and Safety Specialists,US,"128,430","$88,660 ",$42.63 
Cross-industry,Occupational Health and Safety Technicians,US,"31,450","$63,800 ",$30.67 
Cross-industry,Community and Social Service Occupations,US,"2,569,630","$63,030 ",$30.31 
Cross-industry,"Counselors, Social Workers, and Other Community and Social Service Specialists",US,"2,477,920","$62,980 ",$30.28 
Cross-industry,Counselors,US,"970,870","$66,370 ",$31.91 
Cross-industry,"Educational, Guidance, and Career Counselors and Advisors",US,"342,350","$71,520 ",$34.38 
Cross-industry,Marriage and Family Therapists,US,"65,870","$72,720 ",$34.96 
Cross-industry,Rehabilitation Counselors,US,"88,930","$51,260 ",$24.64 
Cross-industry,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",US,"440,380","$65,100 ",$31.30 
Cross-industry,"Counselors, All Other",US,"33,340","$58,070 ",$27.92 
Cross-industry,Social Workers,US,"759,740","$67,050 ",$32.23 
Cross-industry,"Child, Family, and School Social Workers",US,"382,960","$62,920 ",$30.25 
Cross-industry,Healthcare Social Workers,US,"185,940","$72,030 ",$34.63 
Cross-industry,Mental Health and Substance Abuse Social Workers,US,"125,910","$68,290 ",$32.83 
Cross-industry,"Social Workers, All Other",US,"64,940","$74,680 ",$35.91 
Cross-industry,Miscellaneous Community and Social Service Specialists,US,"747,300","$54,460 ",$26.18 
Cross-industry,Health Education Specialists,US,"65,150","$71,700 ",$34.47 
Cross-industry,Probation Officers and Correctional Treatment Specialists,US,"86,820","$71,530 ",$34.39 
Cross-industry,Social and Human Service Assistants,US,"424,220","$47,090 ",$22.64 
Cross-industry,Community Health Workers,US,"60,730","$55,970 ",$26.91 
Cross-industry,"Community and Social Service Specialists, All Other",US,"110,390","$58,360 ",$28.06 
Cross-industry,Religious Workers,US,"91,710","$64,360 ",$30.94 
Cross-industry,Clergy,US,"58,080","$67,160 ",$32.29 
Cross-industry,Clergy,US,"58,080","$67,160 ",$32.29 
Cross-industry,"Directors, Religious Activities and Education",US,"21,460","$65,040 ",$31.27 
Cross-industry,"Directors, Religious Activities and Education",US,"21,460","$65,040 ",$31.27 
Cross-industry,Miscellaneous Religious Workers,US,"12,170","$49,830 ",$23.96 
Cross-industry,"Religious Workers, All Other",US,"12,170","$49,830 ",$23.96 
Cross-industry,Legal Occupations,US,"1,273,410","$137,680 ",$66.19 
Cross-industry,"Lawyers, Judges, and Related Workers",US,"810,640","$177,570 ",$85.37 
Cross-industry,Lawyers and Judicial Law Clerks,US,"760,970","$180,790 ",$86.92 
Cross-industry,Lawyers,US,"747,750","$182,760 ",$87.86 
Cross-industry,Judicial Law Clerks,US,"13,220","$69,850 ",$33.58 
Cross-industry,"Judges, Magistrates, and Other Judicial Workers",US,"49,670","$128,190 ",$61.63 
Cross-industry,"Administrative Law Judges, Adjudicators, and Hearing Officers",US,"16,230","$122,620 ",$58.95 
Cross-industry,"Arbitrators, Mediators, and Conciliators",US,"7,860","$91,170 ",$43.83 
Cross-industry,"Judges, Magistrate Judges, and Magistrates",US,"25,580","$143,110 ",$68.80 
Cross-industry,Legal Support Workers,US,"462,770","$67,810 ",$32.60 
Cross-industry,Paralegals and Legal Assistants,US,"367,220","$66,510 ",$31.98 
Cross-industry,Paralegals and Legal Assistants,US,"367,220","$66,510 ",$31.98 
Cross-industry,Miscellaneous Legal Support Workers,US,"95,550","$72,800 ",$35.00 
Cross-industry,"Title Examiners, Abstractors, and Searchers",US,"48,170","$59,600 ",$28.65 
Cross-industry,"Legal Support Workers, All Other",US,"47,380","$86,220 ",$41.45 
Cross-industry,Educational Instruction and Library Occupations,US,"8,947,710","$65,900 ",$31.69 
